,clean_fin_review
326,not good quality...but yes look smart not like product kid love quality not good look smart
327,bad not comfortable can't run wear used week already unable run previously legs start acking everytime use never happen exercise regularly
328,"not worth money 



 after kiosk delivery agent finally visit amazon warehouse collect shoe next day dismay purpose fight get shoes day time not really worth spending quality type shoes.no wonder virender sehwag brand ambassador king punjab ipl team shoe purchase cheap quality moment touch shoe felt quality really cheap shoe not last monthsso anyone planning buy shoe waste money pair shoe shoe waste money"
329,poor quality quality expect one!price high product
330,poor quality nothing
331,one pair deliver pay pair pay pair shoesonly one pair delivered.please send second pair size
332,good light weight like foam
334,"bad quality product 



 dislike product"
335,not comfortable look good not comfortable
336,"poor quality day stitch open,shoe leather damage sustainability size money loss.i thanksful amazon help shoe replacement reimbursement"
337,buy regular runner buy regular runner need wash every week look bad
339,poor product bad product bay product
340,"poor manufacturing quality check 



 both sode different pair"
341,not good quality shoe side one place tear break due quality material.not acceptable
343,bad quality shoe crack two day
344,show not comfortable show not comfortableplz refund money
345,large size
346,class class quality
349,not good colour change shoe good coming delivery change colour
350,buy campus cheap material cheap quality buy campus buy bata
351,not good shoe shape not good..so dnt buy product
352,bad product not recommend run use shoe jog purpose product even last month poor quality money spent.not recommend look running shoe
353,bad purchase finish not good per price range not right fit!i return dull look cheap looks..and also packaging mess
354,not worth lite not durable month use mesh torn side toe bend run not recommend
355,"sole hard,not good long dist sole hard,not good long distance,harmful knees,sirf dekhne ke liye acche hai"
356,buy bad bad product say really buy expect not type shoues buy
358,bad product ever get defected product offer exchange worst think get defected product shoe different go return it.iam also unhappy amazon
359,standard size order size shoe shoe receive marked different length sole width alsi different shoe return
360,poor quality sole poor quality sole
361,"dont purchase total scam base shoe make polymer,which not durable,so dont buy purchase workout purpose,i dont know people appreciate it.better shoe available open market often durable product value dont waste money,it total scam"
362,poor quality quality shoe poor
363,tight uncomfortable tight not comfortable walk
364,not run not buy shoe running...inner top shoe hard..it give pain foot
365,defected item bhai check karke hath aaya de diya
367,worst fit bad pair shoe i'm uk size order tight thought exchange order uk size wear shoe min fit shoe weird end shoe bite already throw box even replace away order bata size perfect
368,not buy use shoe deliver without tag package torn one shoe spoil
370,bad small
371,bad quality bad quality think it’s might good brand sehwag ambassador quality bad make wear shoe local market bad not try rather try campus range
372,"bad product,fully waste money buy bad shoe available amazon.after use week shoe sole get flat.it's make cheap quality.in image see.not recommend buy anyone.fully waste money"
373,poor quality not photo product not good photo poor inner sole surface thermocol like material suggest product range not buy light weight poor quality material use
374,"bad quality go see colour price product not expect quality,after use week write review,not comfortable walking,i get finger rash downside soul cheap quality,for small stone get pain foot"
375,ridiculous sheer waste money.shoes last days.the bad product ever purchase
376,substandard quality product up-to mark.weight light sole area hard not comfortable wear thumbs_downthumbs_downthumbs_down
377,sole shoe different not like shoe sole different return also not apply even return option available even today rd day buying time period day
378,product damage attached screenshots shoe sole hard not comfortable lot scratch not interested anymore
379,shoe different inner size dissapointed buy product leave shoe tight toe side wear day leave toe become swell asian brand type mistake not expect
380,bad cheap quality
381,bad product ever buy bad seller
382,get defective get defective product
383,poor quality look poor quality look dull colour fade colour
384,bad west money money_bagcrying_face bad experience colour month use see colour order
385,item large order i've order shoe size uk i've receive size disappointing
387,deliver wrong colour product minor defect order white shoe intentionally deliver blue colour shoe readily available also product minor deflects good work light weight size chart different different product per early experience order product require due different design back since tournament not return product really felt cheat
388,pathetic bad quality pathetic service amazon seller.never waste money
389,best quality time quality not mark damage within month
390,good look not comfortable write review use shoe three day look good sole bad think make cheap plastic hard like rock buy shoe walk jog sport activity please dont buy brand shoe like puma reebok add rupee price
391,waste product hurt back ankle lot bad product buy
392,zero star beacuse wrong item order black shoe get grey colour shoe less time go gulf cant replace order.quality premium.i think price high mostly get quality shoe less big width foot people can't use smoothly size foot width little big tight toe area
393,bad bad product
394,meet expectation look good online colour side colour stick plastic not give good look please buy not value koney
395,poor quality quality poor someone use max day ws sowning poor quality plz dont buy
396,bad bad one not rate
397,show pick quality not good not wast money
398,not comfortable not good expect cheap product cheap quality
399,quality quality not good
400,quality bad
401,poor quality poor quality not comfortable shoe shol low quality
402,even exchange damage read buying backhand_index_pointing_down product come damaged.received exchange day damage loudly_crying_facenow i've decide i'll use anyway..looks good quality seem average one shoe tip not properly glued.i think not gonna months.consider review buying
403,poor quality poor quality shoe not useful
404,tight leg get rash outer look good actual problem front narrow tight even though booked size big usual.no cushion foot bed inner adjustment not good.one rash get top leg foot pain use hour flow blood not usual leg dangerous.i recommend shoe type wear
406,stripe unwanted different colour photo complete black original stripe different colour need shoe complete black style
407,unsatisfactory receive different product unsatisfactory
408,not comfortable waste money not comfortable
410,bad bad ever buy
411,bad short lifespan short lifespan..not even month
412,not good everything inside come
413,damage product receive return product badly damage return twice
414,bad quality different colour size pair time purchase time return comfort bad ok low price product quality also bad like shoe comfortable importantly size colour also diffrent shoe wear different colour shoe wth
415,wrong size color wrong size deliverd box
416,not buy plastic material think spend shoe suggest buy shoes.base shoe hard plastic.not comfortable all.total waste money.i return shoe
417,wastage money not actually foot surprisingly not fit me.i not able use it.lying is.can contact seller
418,poor quality not value money i'm not happy dislike product please want return
419,poor quality damage product not buy damaged product receive poor quality please not buy
420,finish bed bed stiching bed product
421,poor quality get deface shoe
422,product quality good product finish quality bad compare brand price range product
423,not good okey
424,torns within month inside outside bad quality never use type use torn month
426,old damage old damage small size
427,bad product please change plan bad experience
428,seriously disappointed horrible quality bad pair shoe see lifetime
429,bad product ever see wors qailituy product not good material class bhy
430,poor product quality chip sellar not not sell original product buy buy product chip quality face_with_rolling_eyes
431,deliver late pm deliver late pm day product poor.my refund return
432,waste product low quality
433,not cricket shoe not suitable cricket sole weak hole
434,shol shol not good
436,seem duplicate seem duplicate shoe
437,shoe get torn replace company poor qlty sole get damage
438,bad quality bad quality bottom surface thumbs_down
439,refound
